prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
20,10.0,7.146,1.25,71,9,68100,89498
200,10.0,7.146,1.25,71,9,68055,89612
201,10.0,7.146,1.25,71,9,68095,89756
202,10.0,7.146,1.25,71,9,68094,90167
203,10.0,7.146,1.25,71,9,68246,90890
204,10.0,7.146,1.25,71,9,68323,92331
205,10.0,7.146,1.25,103,9,68484,95082
206,10.0,7.146,1.25,167,9,68773,100761
207,10.0,7.146,1.25,295,9,70198,121328
208,10.0,7.146,1.25,71,9,68087,89472
209,10.0,7.146,1.25,71,9,68055,89612
21,10.0,7.146,1.25,71,9,68140,89642
210,10.0,7.146,1.25,71,9,68095,89756
211,10.0,7.146,1.25,71,9,68094,90167
212,10.0,7.146,1.25,71,9,68246,90890
213,10.0,7.146,1.25,71,9,68323,92331
214,10.0,7.146,1.25,103,9,68484,95082
215,10.0,7.146,1.25,167,9,68773,100761
216,10.0,7.146,1.25,295,9,70198,121328
217,10.0,7.146,1.25,71,9,68087,89472
218,10.0,7.146,1.25,71,9,68055,89612
219,10.0,7.146,1.25,71,9,68095,89756
22,10.0,7.146,1.25,71,9,68124,90053
220,10.0,7.146,1.25,71,9,68094,90167
221,10.0,7.146,1.25,71,9,68246,90890
222,10.0,7.146,1.25,71,9,68323,92331
223,10.0,7.146,1.25,103,9,68484,95082
224,10.0,7.146,1.25,167,9,68773,100761
225,10.0,7.146,1.25,295,9,70198,121328
226,10.0,7.146,1.25,71,9,68087,89472
227,10.0,7.146,1.25,71,9,68055,89612
228,10.0,7.146,1.25,71,9,68095,89756
229,10.0,7.146,1.25,71,9,68094,90167
23,10.0,7.146,1.25,71,9,68287,90776
230,10.0,7.146,1.25,71,9,68246,90890
231,10.0,7.146,1.25,71,9,68323,92331
232,10.0,7.146,1.25,103,9,68484,95082
233,10.0,7.146,1.25,167,9,68773,100761
234,10.0,7.146,1.25,295,9,70198,121328
