prjclk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io2_l2n1p1_l5n1p1_l8p1n1_d1d2,10.0,9.694,1.25,56,14,9763,14366,173,127,46,127,8x32,2x32
io2_l2n1p1_l5n1p1_l8p2n1,10.0,9.634,1.25,56,20,15322,11918,309,82,57,82,8x32,2x32
io2_l2n1p1_l5n1p1_l8p2n1_d1d2,10.0,8.48,1.25,56,40,19842,18546,301,122,57,122,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n1,10.0,9.066,1.25,56,5,1330,2545,42,23,34,23,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n1_d1d2,10.0,7.966,1.25,56,5,1500,3480,41,57,33,57,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n2,10.0,9.085,1.25,56,8,1556,2709,44,24,35,24,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1n2_d1d2,10.0,7.966,1.25,56,8,1719,3561,43,50,34,50,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p1,10.0,9.066,1.25,56,5,1433,2735,44,27,36,27,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p1_d1d2,10.0,7.966,1.25,56,5,1605,3716,43,69,35,69,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p2,10.0,9.085,1.25,56,5,1495,2783,47,28,37,28,8x32,2x32
io2_l2n1p2_l5n1p2_l8n1p2_d1d2,10.0,7.969,1.25,56,5,1667,3657,45,61,35,61,8x32,2x32
io2_l2n1p2_l5n1p2_l8p1n1,10.0,9.725,1.25,56,8,3433,7943,187,84,54,84,8x32,2x32
io2_l2n1p2_l5n1p2_l8p1n1_d1d2,10.0,9.732,1.25,56,14,9917,14242,177,111,46,111,8x32,2x32
io2_l2n1p2_l5n1p2_l8p2n1,10.0,9.672,1.25,56,20,15446,12013,315,84,59,84,8x32,2x32
io2_l2n1p2_l5n1p2_l8p2n1_d1d2,10.0,8.518,1.25,56,40,19966,18426,305,106,57,106,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n1,10.0,9.164,1.25,56,8,5109,12533,322,135,67,135,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n1_d1d2,10.0,9.171,1.25,56,14,16720,23832,305,157,52,157,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n2,10.0,9.751,1.25,56,8,5192,12547,324,136,67,136,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1n2_d1d2,10.0,9.758,1.25,56,14,16785,23761,307,150,52,150,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p1,10.0,9.164,1.25,56,8,5218,12739,324,139,69,139,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p1_d1d2,10.0,9.171,1.25,56,14,16816,24080,307,169,54,169,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p2,10.0,9.751,1.25,56,8,5280,12768,327,140,70,140,8x32,2x32
io2_l2p1n1_l5p1n1_l8n1p2_d1d2,10.0,9.758,1.25,56,14,16899,24002,309,161,54,161,8x32,2x32
io2_l2p1n1_l5p1n1_l8p1n1,10.0,9.319,1.25,56,8,4929,16354,467,196,86,196,8x32,2x32
io2_l2p1n1_l5p1n1_l8p1n1_d1d2,10.0,9.326,1.25,56,14,23853,32777,441,211,62,211,8x32,2x32
io2_l2p1n1_l5p1n1_l8p2n1,10.0,9.242,1.25,56,20,16622,21608,595,196,91,196,8x32,2x32
io2_l2p1n1_l5p1n1_l8p2n1_d1d2,10.0,9.21,1.25,56,40,33368,38231,569,206,73,206,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n1,10.0,9.101,1.25,56,20,17575,16603,578,135,72,135,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n1_d1d2,10.0,7.966,1.25,56,40,23357,26257,561,147,63,147,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n2,10.0,9.687,1.25,56,20,17577,16634,580,136,72,136,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1n2_d1d2,10.0,7.966,1.25,56,40,23416,26202,563,140,63,140,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p1,10.0,9.101,1.25,56,20,17678,16793,580,139,74,139,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p1_d1d2,10.0,7.966,1.25,56,40,23447,26493,563,159,65,159,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p2,10.0,9.687,1.25,56,20,17676,16840,583,140,75,140,8x32,2x32
io2_l2p2n1_l5p2n1_l8n1p2_d1d2,10.0,8.518,1.25,56,40,23524,26435,565,151,65,151,8x32,2x32
io2_l2p2n1_l5p2n1_l8p1n1,10.0,9.164,1.25,56,20,18264,21863,723,196,91,196,8x32,2x32
io2_l2p2n1_l5p2n1_l8p1n1_d1d2,10.0,9.139,1.25,56,40,30209,36594,697,201,73,201,8x32,2x32
